№ п/п;Дата платежа ;Назначение платежа;Сумма;
1307;15.10.2024;"ТОО ""СК Алаш""Оплата 5% (4 этап-ЗКО с.Жампиты, 5 домов) СМР по факту выполненных работ  по  Договор  №11-02-6-217 от 13.06.2024 год  за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков/ («Строительство 5-ти одноквартирных жилых домов по адресу Западно-Казахстанская область Сырымский район п.Жампиты» - 5 домов )";6 785 857;
1308;15.10.2024;"ТОО ""Shine ProJect"" Окончательная оплата 50% (2 этап - ЗКО, п.Жампиты - 5 домов) Авторский надзор по факту выполненных работ  по  Договор №11-02-6-218  от 13.06.2024г./ Строительство 5 ти одноквартирных жилых домов по адресу Западно- Казахстанская область Сырымский район п.Жампиты» - всего 5
домов )";327 078;
1309;15.10.2024;"ТОО ""Сарнати""Оокончательная оплата 50%  (2 этап-ЗКО, п.Жампиты -5 домов) Технадзор по факту выполненных работ  по Договор  №11-02-6-219 от 13.06.2024 год  за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. Акт выполненных работ №40 от 11.09.2024 года/ Строительство 5-ти одноквартирных жилых домов по адресу Западно-Казахстанская область Сырымский район п.Жампиты» - 5 домов )";1 462 710;
1310;16.10.2024;"ТОО ""Shine ProJect"" Окончательная оплата 50% (2 этап - ЗКО, п.Жампиты -30 домов)   Авторский надзор по факту выполненных работ  по  Договор №11-02-6-209  от 13.06.2024г.  Акт выполненных работ №44 от 10.09.2024 года/ Строительство 24-ти одноквартирных  и 3-х двухквартирных жилых домов,  для граждан, пострадавших от чрезвычайных  ситуатаций природного характера (Авторский надзор п.Жампиты, Сырымского р-на ЗКО -
всего 30  домов )";1 946 742;
1311;16.10.2024;"ТОО ""SaRa-KZ"" Оплата (3 этап) по факту АВР , Договора №11-02- 6-177 от 12.06.2024г., за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков.(Костанайская обл, Амангельдинский
район, п. Амангельды -6 домов)";63 059 278;
1312;16.10.2024;ТОО ҚалдығайтаОплата 5 % (5 этап-ЗКО п.Жампиты-30 домов) СМР  по факту выполненных работ  по  Договор  №11-02-6-208 от 13.06.2024 года/ (Строительство 24-ти одноквартирных и 3-х двухквартирных  жилых домов по адресу Западно-Казахстанская область Сырымский район п.Жампиты»);40 389 267;
1313;16.10.2024;"ТОО ""Сарнати""Оокончательная оплата 50%  (2 этап-ЗКО, п.Жампиты -30 домов) Технадзор по факту выполненных работ  по Договор  №11-02-6-210 от 13.06.2024 год / (Строительство 24-ти одноквартирных и 3-х двухквартирных  жилых домов по адресу Западно-Казахстанская область Технический надзор, с. Жымпиты,
Сырымского р-на )";8 675 699;
1314;16.10.2024;"ТОО Передвижная механизированная колонна-615Окончательная оплата (4 этап-ЗКО, п.Өлеңті-19 домов ) СМР по факту выполненных работ  по  Договор   №11-02-6-211 от 13.06.2024
/(Строительство 15-ти одноквартирных и 2-х двухквартирных жилых домов по адресу ЗКО  Сырымский район п.Өлеңті» - 19
шт.)";51 034 314;
1315;16.10.2024;"ТОО ""Shine ProJect"" Окончательная оплата 50%  (2 этап- ЗКО, п.Өлеңті -19  домов) Авторский надзор по факту выполненных работ  по  Договор №11-02-6-212 от 13.06.2024г. (ЗКО) Строительство 15-ти одноквартирных и 2-х двухквартирных жилых домов по адресу ЗКО  Сырымский район п.Өлеңті» - 19
шт.) (Авторский надзор)";1 229 915;
1316;16.10.2024;"ТОО ""Сарнати""Окончательная оплата 50%  (2 этап-ЗКО, п.Өлеңті - 19  домов) Технический надзор по факту выполненных работ  по Договору  №11-02-6-213  от 13.06.2024 год /Строительство 15-ти одноквартирных и 2-х двухквартирных  жилых домов по адресу ЗКО  Сырымский район п.Өлеңті» - 19 шт.)";5 462 043;
1317;16.10.2024;"ТОО ""Балтемен""Оплата РБК (5 этап-  ЗКО, с.Көздіқара- 1 дом/ СМР по факту выполненных работ  по  Договор №11-02-6-223 от 13.06.2024 год /Строительство 2-х и одноквартирных  и 2-х двухквартирных жилых домов по адресу Западно-Казахстанская область Сырымский район п.Бұлдырты, п.Көздіқара";7 033 216;
1318;16.10.2024;"ТОО ""Shine ProJect"" Окончат оплата (2 этап-ЗКО,п.Бұлдырты - 5 домов ) Авторский надзор по факту выполненных работ  по Договор №11-02-6-224 от 13.06.2024г. (ЗКО) / Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных ситуатаций природного характера (Авторский надзор п.Бұлдырты, п.Көздіқара) ,Сырымского р-на ЗКО - всего 6 домов )";316 369;
1319;16.10.2024;"ТОО ""Shine ProJect"" Окончат оплата (2 этап - ЗКО, п.Көздіқара - 1 дом) Авторский надзор по факту выполненных работ  по  Договор
№11-02-6-224 от 13.06.2024г/ Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера (Авторский надзор п.Бұлдырты, п.Көздіқара) ,Сырымского р-на ЗКО - всего 6 домов )";63 274;
1320;16.10.2024;"ТОО ""Сарнати""Окончательная оплата  (2 этап - ЗКО, п.Бұлдырты- 5 домов) Технический надзор по факту выполненных работ  по Договору  №11-02-6-225  от 13.06.2024 год (Строительство 2-х одноквартирных и 2-х двухквартирных  жилых домов по адресу ЗКО Сырымский р-он  п.Бұлдырты, п.Көздіқара - всего 6 домов)";1 419 730;
1321;16.10.2024;"ТОО ""Сарнати""Окончательная оплата (2 этап-  ЗКО - п.Көздіқара- 1  дом) Технический надзор по факту выполненных работ  по Договору  №11-02-6-225  от 13.06.2024 год ( .(Строительство 2-х одноквартирных и 2-х двухквартирных  жилых домов по адресу ЗКО Сырымский р-он  п.Бұлдырты, п.Көздіқара - всего 6 домов)";283 946;
1322;21.10.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ""Возмещение  расходов за логистические услуги по перевозке груза  (Обрудование -ЛФК ) от Prolimpic Spolka, Польша),маршрут Астана-Кеген, согласно Договора №09-02-3-376 от 06.11.23 г. Заявка №23/Р-РЦ от
30.09.24г. проект ""QH Аудандык оңалту орталығы""";327 800;
1323;21.10.2024;"ТОО ""STEM ACADEMIA""Окончат оплата по факту поставки по
Договору  №2/19 от 27.06.2024г  проект  ""Развитие потенциала опорных школ в сельской местности  (2 этап)""";124 946 881;
1324;21.10.2024;"ТОО ""STEM ACADEMIA""Окончат оплата по факту поставки по Договору  №2/21 от 27.06.2024г (ЗКО)  проект  ""Развитие
потенциала опорных школ в сельской местности  (2 этап)""";249 340 042;
1325;21.10.2024;"ТОО ""Stem solutions""Оплата  по факту поставки  по Договору
№2/47 от 03.07.2024г./ КГУ «СОШ №2 им.А.Кунанбаева г.Экибастуз УО Павлодарской области, проект  ""Развитие потенциала опорных школ в сельской местности  (2 этап)""";20 311 298;
1326;21.10.2024;"ТОО Арт Инжиниринг Шығысиз средств донора Анисимова оконч часть  по Договору  №11-02-6-58  от 03.04.2024г. (Технадзор) Строительство под ключ ""модульный спортивный зал ангарного типа""  (поселок Ауэзов, уч.37, Жарминский район, Абай области) проект   ""QH Установка быстровозводимых спортивных залов ангарного типа в поселке Ауэзов  области Абай""";500 000;
1327;21.10.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ""Возмещение  расходов за логистические услуги по перевозке груза,  доставка документов (накладных) для брокера и Заказчика  (Обрудование -КОРВИТ, ООО Атлант Медикал, ООО Медиц. логистика, ООО ПК Лидер, ООО ВИТ, Prolimpic Spolka, Jworld Industry Ltd,  для Актюбинской области -Шалкар, согласно Договора №09-02-3-376 от 06.11.2023 г.  проект «QH Аудандык оңалту орталығы» Заявка №23/Р-РЦ от 30.09.24г. проект ""QH Аудандык оңалту орталығы""";501 776;
1328;21.10.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ""Возмещение  расходов по международной транспортировки груза, таможенный сбор, имп.таможенная пошлина, НДС (Обрудование ОМ Interactive Ltd, 2-интерактивные  комнаты  для Актюбинской области - Шалкар, для Области Жетысу - Сарканд), согласно Договора  №09-02-3-376 от 06.11.2023 г.Заявка №24/Р-РЦ от  30.09.24г. проект ""QH
Аудандык оңалту орталығы""";7 929 123;
1329;21.10.2024;"ТОО ""STEM ACADEMIA""Оплата  по факту поставки  по
Договорам  №2/16, №2/17 от 26.06.24г. проект  ""Развитие потенциала опорных школ в сельской местности  (2 этап)""";96 412 613;
1330;21.10.2024;"ТОО Kerneu GroupОплата по факту поставки  по Договору  №2/48 от 03.07.2024г  проект  ""Развитие потенциала опорных школ в
сельской местности  (2 этап)""";65 966 384;
1331;21.10.2024;"ТОО ""STEM ACADEMIA""Окончат оплата  по факту поставки  по Договорам   №2/18,№2/20  от 27.06.2024г  проект ""Развитие
потенциала опорных школ в сельской местности  (2 этап)""";92 658 857;
1332;21.10.2024;"ТОО ""STEM ACADEMIA""Окончательная оплата  по факту поставки  по Договорам  №2/22, №2/23  от 27.06.2024г  от 10.10.24г . проект  ""Развитие потенциала опорных школ в сельской
местности  (2 этап)""";106 293 239;
1333;21.10.2024;"ТОО ""ОСТ-ФАРМ""Окончательная оплата 50%  по Договору  №09- 02-3-251 от 18.06.2024г (для КГП на ПХВ Жамбылский областной специализированный реабилитационный центр УЗ Жамбыл обл.) Cчет №УТ-32  от 08.10.24 г. /Ванна водолечебная Гольфстрим- душ массаж, Ванна медицинская массажная вихревая для рук Истра-Р, Ванна медицинская массажная вихревая для ног Истра-Н, Кафедра водолечебная ВУОКСА Оптима (душ Шарко), проект ""QH Дихан ауылындағы оңалту орталығы""";12 079 650;
1334;21.10.2024;"ТОО ""ОСТ-ФАРМ""Окончательная оплата 50%  по Договору  №09- 02-3-292 от 19.08.2024г. Cчет №УТ-33  от 08.10.24 г. (для КГП на
ПХВ Жамбылский областной специализированный реабилитационный центр УЗ Жамбыл обл.)Аппарат универсальный магнитотерапевтический  Радиус-Магнит,пр-во
Беларусь), проект ""QH Дихан ауылындағы оңалту орталығы""";1 115 200;
1335;21.10.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ""Возмещение  расходов за логистические услуги по перевозке груза,  таможенное оформление, СВХ, доставка документов (накладных) для брокера и Заказчика  (Обрудование -ЛФК,Костюмы, 2 интерактивные комнаты) от ООО Атлант Медикал, Prolimpic Spolka),марштрут Астана-с.Жаксы, Астана-Сарканд)  для СКО,Акмолинской области)  согласно Договора №09-02-3-376 от 06.11.2023 г. Заявка
№23/Р-РЦ от  30.09.24г. проект ""QH Аудандык оңалту орталығы""";685 015;
1336;21.10.2024;"ФГБОУ ВО ПСПБГМУ ИМ. И.П. ПАВЛОВА МИНЗДРАВА
РОССИИОплата 100 %  по Договору №09-02-3-311 от 13.09.2024г.  за обучение  специалистов  АО ""ННОЦ"" (Авакян Е.С.)  с 16.09.2024г.- по 12.10.2024г. в городе Петербург)  проект
«QH Обучение специалистов онкологической службы ННОЦ»";1 015 180;
1337;21.10.2024;"ИП МАКАНОВ М К оконч оплата Договор №11-02-6-385 от 31.10.2023г.(Технический надзор) по Строительство под ключ ""модульный спортивный зал ангарного типа""  (для КГУ Житикаринская РЮСШ УФКиС акимата Костанайской области)";1 000 000;
1338;21.10.2024;"ТОО ProfLine ConstructionОплата 5%  (5 этап-ЗКО, п.Жампиты - 9 домов +  п.Өлеңті - 20 домов ) СМР по факту выполненных работ по  Договор  №11-02-6-214 от 13.06.2024 год  / АВР №10 от 01.10.24г.(Строительство 19-ти одноквартирных и 5-х двухквартирных  жилых домов по адресу ЗКО Сырымский район
п.Жампиты и п. Өлеңті» - итого 29 домов  )";38 812 548;
1339;21.10.2024;"ТОО""APEX CО""Окончательная оплата 50% по сч №4898  от 15.10.24г. по  Договору №09-02-3-198  от 19.04.24г. проект ""QH Развитие комбустиологической службы в Карагандинской области"" / (Поставка Системы ультразвукового аспиратора SONOPET IQ -1 комплекс) для КГП на ПХВ Многопрофильная
больница им.Х.Ж.Макажанова УЗ Кар.обл.";33 969 870;
1340;21.10.2024;"ТОО ""МебельBro""Окончательная оплата  70% по  Догоговору
№РЦ/2023-10-2 от 09.04.24г.(СКО) КГПна ПХВ
Многопрофильная детская обл.больница УЗ СКО  проект QH ""Оналту орталыктары"" (Мебель и декор -16 позиций)";6 209 140;
1341;21.10.2024;"ТОО ""Raam Group""Окончательная оплата 50% по сч №118  от 04.10.24г., согласно Договору №09-02-3-287  от 31.07.2024г./Для КГП на ПХВ Многопрофильная больница города Темиртау УЗ Кар.обл.  проект ""QH Развитие кардиологической службы в
Карагандинской области""";14 450 000;
1342;21.10.2024;"ТОО ATTECH PreschoolОкончательная оплата 100 % по факту поставки по Договору №РЦ-Р/2023-14-8 от 06.08.2024г. проект ""QH Аудандык оналту орталыктары"".(Настольные развивающие игры, демонстративный материал)  (для КГП на ПХВ Жамбылский областной специализированный реабилитационный центр УЗ
Жамбыл обл.)";500 000;
1343;21.10.2024;"ТОО ""ЖайыкСтройПроект""Предоплата 50% по Договорам № 11- 02-6-367, №11-02-6-368 от 10.10.24г. проект Создание с/библиотек и общ.центров в ЗКО.  /проект «QH Создание на базе сельских библиотек комьюнити-центров (общественных центров)“Жаңа клуб/ Jañaklub” в Западно-Казахстанской области»";9 208 080;
1344;21.10.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ""Возмещение  расходов за логистические услуги по перевозке груза  (Обрудование - ЛФК,Костюмы, 2 интерактивные комнаты) от ООО Атлант Медикал, Prolimpic Spolka),марштрут Астана-с.Бейнеу, Мангистауская область),  согласно Договора №09-02-3-376 от 06.11.2023 г.  проект «QH Аудандык оңалту орталығы» Заявка
№23/Р-РЦ от  30.09.24г.";477 800;
1345;21.10.2024;"ТОО ""Central Asian Educаtional Solutions""Оплата по факту поставки  по Договорам №2/41, №2/42, №2/43 от 03.07.2024г. проект ""Развитие потенциала опорных школ в сельской местности
(2 этап)""";107 151 070;
1346;21.10.2024;"ТОО ""Central Asian Educаtional Solutions""Оплата по факту  поставки по Договорам №2/44, №2/45 от 03.07.2024г /Для Дог 44 - КГУ ШГ №2 им.У.Жанибекова ОО Келеского р-на УО Туркестан обл/ Дог.45 - КГУ ОШ  №4 им.С.Рахымова ОО Мактааральского р- на УО Туркестан обл/проект  ""Развитие потенциала опорных школ
в сельской местности  (2 этап)""";74 963 050;
1347;21.10.2024;"ТОО ""QURMET INDUSTRY""Оплата  по факту поставки   по Договору №2/40 от 03.07.2024г  проект  ""Развитие потенциала
опорных школ в сельской местности  (2 этап)""";95 060 067;
1348;21.10.2024;"ТОО ""QURMET INDUSTRY""Оплата  по факту поставки   по Договорам  №2/35,№2/36 от 03.07.2024г  проект  ""Развитие
потенциала опорных школ в сельской местности  (2 этап)""";104 128 505;
1349;21.10.2024;"ТОО ""Stem solutions""Окончат оплата  по факту поставки  по Договору  №2/49 от 03.07.2024г  КГУ «Заринская средняя общеобразовательная школа», Павл.района УО Павлодарской области/, проект  ""Развитие потенциала опорных школ в сельской
местности  (2 этап)""";81 658 310;
1350;21.10.2024;"OM Interactive Ltd Окончательная оплата 70% (за 2 комнаты)  по Договору поставки  №09-02-3-237 от 30.05.2024г. Сумма 63 348.60 GBP/ для оснащения 8 Реабилитационных центров   в рамках проекта  ""QH Аудандық оңалту орталықтары"" Invoice  №INV-1188
от 04.10.2024г.";39 929 890;
1351;21.10.2024;"КФ ""ҚАМҚОРЛЫҚ ҚОРЫ""Возмещение  расходов за логистические услуги по перевозке груза  (Обрудование -ЛФК )  от Prolimpic Spolka, Польша), маршрут Астана-Жанакорган, согласно Договора  №09-02-3-376 от 06.11.23 г.Заявка №23/Р-РЦ от
30.09.24г. проект ""QH Аудандык оңалту орталығы""";342 800;
1352;22.10.2024;"ТОО ""ROUND KZ"" Окончательная  оплата ""QH 76 детских спортивных залов"" по договорам  №11-02-6-289,№11-02-6-
284,№11-02-6-283 от 13.08.2024г.";15 654 800;
1353;22.10.2024;"ИП SPORT TIMEОкончательная оплата 70% ""QH 76 детских спортивных залов"" по договорам поставок: №11-02-6-335,№11-02-
6-337 от 09.09.24г., №11-02-6-291,№11-02-6-293 от 13.08.24";6 966 680;
1354;22.10.2024;"ИП SPORT TIMEПредоплата 30% ""QH 76 детских спортивных залов""  по договорам поставок: №11-02-6-369, 11-02-6-389, 11-02- 6-373, 11-02-6-377, 11-02-6-375, 11-02-6-405, 11-02-6-395, 11-02-6-
382, 11-02-6-380, 11-02-6-385, 11-02-6-397, 11-02-6-408, 11-02-6-
399, 11-02-6-403, 11-02-6-371, 11-02-6-401, 11-02-6-407, 11-02-6-
383, 11-02-6-416, 11-02-6-413, 11-02-6-387, 11-02-6-393, 11-02-6-
391, 11-02-6-404";17 778 570;
1355;22.10.2024;"ТОО ""АИР Строй Монтаж"" 4 часть  по Договору  №11-02-6-47  от
19.03.24 г. Строительство под ключ ""модульный спортивный зал ангарного типа в городе Степногорск, мкр.1, участок 98 Акмолинской области»  АНГАР";26 647 384;
1356;22.10.2024;"ТОО ""СК Арт Люкс""из средств донора Анисимова 1 часть аванса 20%  по Договору  №11-02-6-429 от 17.10.24 г. Строительство под ключ ""модульный спортивный зал ангарного типа""  (село Тауш,
Костанайская обл)  АНГАР";30 446 024;
1357;22.10.2024;"ТОО ""ROUND KZ""Предоплата 30%  ""QH 76 детских спортивных залов""  по   Договорам №11-02-6-379, №11-02-6-410 от 15.10.2024г., №11-02-6-412, №11-02-6-414, №11-02-6-415 от
17.10.2024г.";11 149 800;
1358;22.10.2024;"ТОО ДНС КАЗАХСТАНОплата по финансированию республиканской олимпиады по робототехнике в рамках программы «Болашақ инженерлер»  Договора №11-02-6-430 от 17.10.2024г. проект  «QH Проведение республиканской олимпиады по робототехнике «R:ED FEST» в рамках
благотворительной программы «Болашақ инженерлер»";2 794 050;
1359;22.10.2024;ТОО СКО Монтажник и КОкончательная оплата (4 этап СКО Каспи) по факту выполненных работ  по  Договору  №11-02-6-94 от 21.05.2024г. за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. Акт выполненных работ №3 от 15.07.2024 года./ Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера (СКО, г.Петропавловск, мкр.Солнечный-2);16 200 000;
1360;22.10.2024;"ТОО ""ROUND KZ""Предоплата 30%  ""QH 76 детских спортивных залов""  по   Договорам  №11-02-6-390, 392, 411, 409, 394, 396, 370,
372, 384, 398, 374, 386, 381, 378, 376, 406, 400, 402, 388.";34 508 625;
1361;22.10.2024;"ТОО ""Мирас Group""Окончательная оплата (5 этап СКО Каспи) по факту выполненных работ  по  Договору  №11-02-6-96 от 21.05.2024г. за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. /Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера (СКО, г.Петропавловск, мкр.Солнечный-2)";18 900 000;
1362;22.10.2024;ТОО ОснованиеОкончательная оплата 5%  (5 этап СКО Каспи) по факту выполненных работ  по  Договору  №11-02-6-88 от 21.05.2024г. за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. /Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера (СКО, г.Петропавловск, мкр.Солнечный-2);20 250 000;
1363;22.10.2024;"ТОО ""A.D.A.Group""Окончательная оплата 5 % (4 этап СКО Каспи
) по факту выполненных работ  по  Договору № 11-02-6-97 от 21.05.2024  за услугу стр-ва жилых домов гражданам РК пострадавшим от паводков. /Строительство одноэтажных домов для граждан, пострадавших от чрезвычайных  ситуатаций природного характера (СКО, г.Петропавловск, мкр.Солнечный-2)";8 100 000;
1364;23.10.2024;"ТОО ""SHARBAK""5 часть Oплата по факту выполненных работ  по Договору №11-02-6-534  от 26.12.23 за услуги Строительство спортивных залов ангарного типа с. Коктал, с .Капал (Жетысу область).  Проект ""Установка быстровозводимых модульных спортивных залов ангарного типа в селе Коктал и Капал Область
Жетысу """;17 110 405;
1365;23.10.2024;"ТОО ""Medicare International""Предоплата 50% ,согл Договора № 09- 4 от 17.05.2022г. доп согл №2 за изготовление протеза  голени  для
заявителя ID4 6347";1 750 000;
1366;23.10.2024;"ТОО ""Medicare International""Окончательная оплата 50% ,согл
Договора № 09-4 от 17.05.2022г. доп согл №2 , за изготовление протеза  голени  для заявителя ID 46214";1 750 000;
1367;23.10.2024;"ТОО ""Medicare International""Окончательная оплата 50% ,согласно Договора № 09-4 от 17.05.2022г. Доп согл №2  за изготовление
протеза  голени   для заявителя ID 46112";1 750 000;
1368;23.10.2024;"ТОО ""Medicare International""Окончательная оплата 50% ,согласно Договора № 09-4 от 17.05.2022г. Доп согл №2 за изготовление
протеза  бедра для заявителя ID 46060";2 135 231;
1369;23.10.2024;"ТОО ""Medicare International""Окончательная оплата 50% ,согласно Договора № 09-4 от 17.05.2022г. Доп согл №2 за изготовление протеза  предплечья руки   для ID 45979 Благотворительная программа «Обеспечение инновационными протезно- ортопедическими изделиями детей и молодежи (14–29 лет) с
инвалидностью»";4 000 000;
1370;23.10.2024;"ТОО ""INKAR""  50%  по  Договору  №09-02-3-318 от 25.09.24г. на поставку лекарственного средства  Сатрализумаб (Энспринг) ( р-р
для инъекций)  (для 1 взр.)";17 254 200;
1371;23.10.2024;"ТОО ""SWIXX BIOPHARMA (СВИКС БИОФАРМА)"" согласно
Договора  №09-02-3-257  от 24.06.24г., приобретения лекарственного средства  Крисвита, 10 мг/мл 2 детей/";40 914 112;
1372;23.10.2024;"ТОО ""SWIXX BIOPHARMA (СВИКС БИОФАРМА)"" по Договору
№09-02-3-301  от 27.08.24г. 1 часть Оплата на поставку приобретения лекарственного средства  Крисвита, 10 мг/мл.(1 реб)";28 128 452;
1373;23.10.2024;"ТОО ""SWIXX BIOPHARMA (СВИКС БИОФАРМА)"" 1 часть по
Договору  №09-02-3-320  от 26.09.24г.. оплата на поставку приобретения лекарственного средства  Крисвита, 30 мг/мл.(1 реб, 1 взр) /";38 357 100;
1374;28.10.2024;"ИП Art Collection (Жусупова Динара Сунгатовна)Окончательная оплата 50%,  Договор №09-02-3-314/1  от 20.09.2024г. (изготовление табличек) по Проект  ""QH Аудандык оңалту орталықтары"", Проект  ""QH Оңалту орталықтары"",   Проект QH Дихан ауылындағы оңалту орталығы";45 000;
1375;28.10.2024;"OM Interactive Ltd Окончательная оплата 70% (за 2 комнаты)  по Договору поставки  №09-02-3-237 от 30.05.2024г. (для Жетысу, Жамбылской области) Сумма 63 348.60 GBP/ для оснащения 8 Реабилитационных центров   в рамках проекта  ""QH Аудандық оңалту орталықтары"" Invoice  №INV-1210   от 18.10.2024г.";40 190 252;
1376;28.10.2024;"ТОО ""INKAR""ОнкоПланПредоплата за 4 поставка  по Договору № 09-03-135 по приобретению, хранению и транспортировке лекарственного средства Нинтеданиб (Варгатеф) мягкие капсулы
по 100 мг (8400 капсул)";70 224 000;
1377;28.10.2024;"ТОО ""СТОФАРМ""ОнкоПлан (4) Оплата по Договору  №09-03-133 от 13.10.2023г./Доп.соглаш.№2 от 17.10.2024г./Костанай.обл., за лекарственный препарат Кискали (Рибоциклиб)  250
упаковок/таблетки 200мг №63.";195 008 625;
1378;28.10.2024;"ТОО ""СТОФАРМ""ОнкоПлан (4 поставка) по Договору№ 09-03- 132 от 13.10.23г./Доп.соглаш.№2 от 18.06.24г./ по приобретению, хранению и транспортировке лекарственного средства Эрлеада (Апалутамид)таблетки 60 мг,№120 (220 упаковок).";297 824 472;
1379;28.10.2024;"ТОО ""КФК ""Медсервис Плюс""ОнкоПлан  (3  Оплата)  по Доп.согл.№2 от 17.10.24г.к Договору №09-03-117  от 22.09.23г. по приобретению и хранению  лекарственного средства Линпарза (Олапариб) табл.150мг№56  (44 800 таблеток)  ПП №38 от
26.06.2023г.";1 093 120 000;
1380;28.10.2024;"ИП SUN TradeПредоплата 50% по Договорам Договор №11-02-6- 417 Договор №11-02-6-418, Договор №11-02-6-419, Договор №11- 02-6-420, Договор №11-02-6-421, Договор №11-02-6-422 Договор
№11-02-6-423, Договор №11-02-6-424,Договор №11-02-6- 425,Договор №11-02-6-426, Договор №11-02-6-427 Договор №11- 02-6-428  от 17.10.24г. оснащ в рамках проекта «QH Создание на базе сельских библиотек комьюнити-центров (общественных
центров) “Жаңа клуб/ Jañaklub” в ЗКО»";151 225 493;
1381;28.10.2024;"ТОО""APEX CО""Окончательнаяя оплата 50% по сч №4985  от 18.10.24г.  по  Договору №09-02-3-197  от 19.04.24г. проект ""QH Развитие комбустиологической службы в Карагандинской области"" /(Поставка Системы ультразвукового аспиратора SONOPET IQ -1 комплекс) для КГП на ПХВ Многопрофильная
больницы г.Темитау УЗ Кар.обл.";33 969 870;
1382;28.10.2024;"ТОО ""ZEIN INVEST""Окончательная оплата 50% по Договору
№09-02-3-305 от 29.08.2024г.,  Поставка УЗИ (система ультразвуковая диагностическая медицинская-1 шт.) КГП на ПХВ
«Больница г. Шахтинск» УЗ КО проект ""QH Развитие
кардиологической службы в Карагандинской области""";24 000 000;
1383;28.10.2024;"ТОО ""INKAR"" Предоплата 50 %  по Договору №09-02-3-327 от 21.10.2024г. по приобретению, хранению и транспортировке лекарственного средства Сатрализумаб (Энспринг) ( р-р для
инъекций) (50 флаконов)  по  счеу №797   от 24.10.24г.)";137 775 000;
1384;30.10.2024;"ТОО ""АИР Строй Монтаж""Договор  №11-02-6-147  от 04.06.24 г.
Строительство под ключ ""модульный спортивный зал ангарного типа""  (село Аккыр, Кызылординская обл)";53 080 193;
1385;30.10.2024;"ТОО ""АИР Строй Монтаж""Оплата 3 часть  по Договору  №11-02-6- 146 от 04.06.24 г. Строительство под ключ ""модульный  спортивный зал ангарного типа""  (село Досбол Датка,
Кызылординская обл)";53 080 193;
1386;30.10.2024;"Akces-Med Sp.z o.oОкончательная оплата 50% по   Договору №09- 02-3-308 от 03.09.2024г. Invoice  №DEX 023/09/2024  от 18.10.2024г., в рамках проекта ""QH Аудандык оңалту орталықтары""  (Польша) на поставку товара для оснащения 6*3шт.=18шт. реабилитационных центров (для 3 регионов
Акмолинская, Жамбылская, Кызылординская областей)";4 556 418;
1387;30.10.2024;"ТОО ""Казинтертех СП""Окончательная оплата  по фактам за поставки  по Договорам  №2/57, №2/58,2/59,2/60 от 15.07.24г.( Алмат./Жетысу области)  проект  ""Развитие потенциала опорных школ в сельской местности  (2 этап)""№57- КГУ «Общ.СШ - лицей
№4» ГУ ОО по Талгарскому р-ну УО Алм. обл.»/№58- КГУ «СШ им.А.Байтурсынова» ГУ ОО по Алакольскому р-ну УО Жетысу обл.»/№59-КГУ СШ им.Кадырали Жалаири ГУ ОО по Коксуского р-ну УО Жетысу.обл./№60-КГУ СШ -ИнтернатГУ ОО по Панфиловского р-на УО Жетысу.обл.";2 800 000;
1388;30.10.2024;"ТОО ""Полимедиа""Оплата  по факту поставки 1 акт  по Договору
№2/46 от 03.07.2024г проект  ""Развитие потенциала опорных школ в сельской местности  (2 этап)""";85 832 484;
1389;30.10.2024;"ТОО ""ВИВА Фарм""Оплата за 4 часть поставки по Договору № 09- 3-167 от 29.12.23, (всего 4 части) ,лекарственное  средство Воксзого 0,56 мг (Восоритид)/порошок и растворитель
/Атырауская обл, 1 реб";24 023 561;
1390;30.10.2024;"ТОО ""ВИВА Фарм""Оплата за 4  часть поставки по Договору № 09- 3-168 от 29.12.23, (всего 4 части) ,лекарственное  средство Воксзого 0,56 мг (Восоритид)/порошок и растворитель/для
Алматинская обл, 1 реб";24 023 561;
1391;30.10.2024;"ТОО ""ВИВА Фарм""Оплата за 4 часть поставки по Договору № 09- 3-169 от 29.12.23, всего 4 части) ,лекарственное  средство Воксзого 0,56 мг (Восоритид)/порошок и растворитель СКО, 1 реб /";24 023 561;
1392;30.10.2024;"ТОО ""ВИВА Фарм""Оплата за 4  часть поставки по Договору № 09- 3-170 от 29.12.23, (всего 4 части) ,лекарственное  средство Воксзого 0,56 мг (Восоритид)/порошок и растворитель Жетису
обл, 1 реб";24 023 561;
